gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,1
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,,0
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,0
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,0
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,0
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,0
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,0
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,0
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9,0
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,0
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,0
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,0
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,0
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,0
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,0
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,0
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,0
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,0
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3,0
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,1023.85,0
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,82.15,0
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,244.8,0
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2379.1,0
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,3173.35,0
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,1
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,1375.4,0
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,0
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1192.7,0
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1901.65,0
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,587.4,0
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75,0
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,8041.65,0
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75,0
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2681.15,0
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,1112.3,0
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,7405.5,0
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95,0
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95,0
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2684.85,0
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4179.2,0
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,1
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,1
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1,0
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,25.25,0
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1124.2,0
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,540.05,0
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1975.85,0
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,3437.45,0
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,3139.8,0
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3789.2,0
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,5324.5,0
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,624.6,0
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1836.9,0
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,20.2,0
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,1
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,219.35,0
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,1288.75,0
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2723.15,0
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25,0
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5760.65,0
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4747.5,0
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,1
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1566.9,0
0,0,0,0,29,1,2,2,1,1,1,1,1,1,0,0,2,25.15,702.0,0
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,114.1,1
0,0,0,0,10,0,1,0,0,0,0,2,0,0,2,1,3,29.6,299.05,0
1,0,1,0,18,1,2,1,0,0,0,0,0,0,0,1,2,73.15,1305.95,0
0,1,0,0,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,1120.3,1
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,3,19.75,284.35,0
0,0,0,0,72,1,2,0,0,2,2,2,2,2,2,0,0,86.6,6350.5,0
1,0,0,0,72,1,2,1,0,2,2,2,2,2,2,0,0,109.2,7878.3,0
0,0,1,1,41,1,0,0,2,0,0,2,2,2,1,1,1,74.7,3187.65,0
0,1,1,0,65,1,0,1,2,2,2,0,0,2,0,0,2,94.4,6126.15,0
0,1,0,0,13,1,0,0,0,2,2,0,0,0,0,1,2,54.8,731.3,0
1,1,0,0,4,1,0,1,2,0,0,0,0,0,0,0,2,75.35,273.4,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,0
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,1074.3,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,48.55,1
1,0,0,0,42,1,2,1,2,2,2,0,0,2,1,1,2,99.0,4298.45,0
0,0,1,0,51,1,0,1,2,2,2,0,2,0,1,1,2,93.5,4619.55,0
0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,147.15,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,40.2,1
1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,2633.3,0
1,0,0,0,10,1,0,2,1,1,1,1,1,1,0,1,3,19.85,193.05,0
0,0,1,1,67,0,1,0,0,2,2,2,2,2,2,1,2,59.55,4103.9,0
0,0,1,1,61,1,2,1,2,2,2,2,2,2,2,0,1,115.1,7008.15,0
1,0,0,0,50,1,2,1,2,2,2,2,2,2,1,0,1,114.35,5791.1,0
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,80.55,1
0,1,1,0,29,0,1,0,2,0,2,0,0,2,0,1,2,45.0,1228.65,0
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,132.2,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,1364.3,1
1,1,1,0,57,1,2,1,0,2,0,0,0,2,0,1,2,89.85,4925.35,0
0,0,0,0,31,0,1,0,2,2,0,2,0,2,2,1,0,49.85,1520.1,0
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,0
0,0,1,1,61,1,2,0,2,2,2,2,2,2,2,0,3,88.1,5526.75,0
1,0,0,0,50,1,2,2,1,1,1,1,1,1,2,0,0,24.9,1195.25,0
0,1,0,0,19,1,0,1,2,2,0,2,2,2,0,1,3,105.0,2007.25,0
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,1099.6,1
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,1,24.25,1732.95,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1
1,0,1,0,57,1,0,0,2,2,0,2,0,0,2,1,2,59.75,3450.15,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,24.8,1
1,1,1,0,20,1,2,1,0,2,0,2,2,2,0,0,2,107.05,2172.05,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,70.6,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,401.1,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,5624.85,1
1,1,1,0,21,1,0,0,2,2,0,0,0,2,0,1,0,64.95,1339.8,0
1,0,0,0,14,0,1,0,0,0,2,2,2,2,0,1,2,55.0,771.95,0
0,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,50.55,244.75,0
0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,3,55.15,322.9,0
0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,2,51.2,498.25,0
0,0,0,1,1,1,2,2,1,1,1,1,1,1,0,0,3,25.4,25.4,0
0,0,0,0,68,1,2,0,2,0,0,0,0,0,0,0,3,54.45,3687.75,0
1,0,1,1,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1779.95,1
0,0,0,0,22,1,2,1,0,0,0,0,0,0,1,1,1,76.0,1783.6,0
0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,1,2,44.35,927.15,0
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,70.0,1
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,606.55,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,435.4,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1712.7,1
1,0,0,0,35,1,0,0,2,2,2,0,0,0,1,0,3,61.2,2021.2,0
1,0,1,1,23,1,0,1,0,2,2,2,0,0,1,0,3,86.8,1940.8,0
0,1,0,0,6,1,0,1,0,0,0,0,2,2,0,1,2,89.35,567.8,0
0,0,0,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.7,220.35,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,20.25,0
0,0,1,1,71,1,0,1,0,0,2,0,0,0,2,0,2,76.05,5436.45,0
1,1,1,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.8,3437.5,0
1,0,1,1,40,1,2,0,0,0,2,0,2,2,0,1,2,74.55,3015.75,0
0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,73.6,1
1,0,0,0,23,1,0,0,0,0,0,0,2,2,1,1,0,64.9,1509.8,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,396.1,1
1,0,0,0,4,1,0,1,0,0,2,2,0,2,0,1,2,90.4,356.65,0
0,0,1,1,68,0,1,0,0,2,2,2,2,2,2,0,1,60.3,4109.0,0
1,0,0,1,38,1,2,1,0,2,0,0,0,0,0,1,3,81.85,3141.7,0
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.8,1229.1,0
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,2303.35,1
1,0,1,1,29,1,0,0,0,0,2,2,2,2,2,0,3,75.55,2054.4,0
